"mission_id","pack_key","pack_display","title","difficulty","age","players","duration","equipment","step_count","win_condition","task_specific_safety","parent_tip","kids_challenge","easy_variant_block","quick_round","multiplayer_role_preflight","phone_down_cue","indoor_small_space","potential_physical_risk","generic_footer_conflict","behavior_fit_score","evidence_label","recommended_action"
"1","Reflex Rush","Lightning Hands","Speed Demon","1","3+","2","45s","paddles:2 balls:1","3","Catch as many as you can in 45 seconds — beat your best!","Throw under chin level — never aim at faces.","Playing with a younger child? Slow it down and keep it fun.","Try a small step back only after 3 clean catches.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"2","Reflex Rush","Lightning Hands","Red Light, Green Light","1","4+","2–3","60s","paddles:2-3 balls:1","3","Make it through 60 seconds with zero RED LIGHT throws!","Freeze means freeze — no sneaky moves!","The best part? Trying not to laugh during the freeze!","Try a small step back only after 3 clean catches.","no","no","full role card (who throws / who catches / who calls / when to switch / where to stand / only-two fallback)","yes","either (indoor or out)","abrupt stop / freeze","no","8.5","LIVE_OBSERVED + SOURCE_VERIFIED","Add the Take-it-gently / Grown-up-first / When-to-stop block already used on missions 7, 11, 31 and 36"
"3","Reflex Rush","Lightning Hands","Quick Slap","2","6+","2","120s","paddles:2 balls:1","3","10 clean slap-catches each side wins!","Hold the handle tight — only your free hand slaps.","Find a rhythm: throw → SLAP → catch — repeat!","Watch the ball all the way into your hands.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"4","Reflex Rush","Lightning Hands","Switcharoo","2","6+","2","90s","paddles:2 balls:1","3","First to 12 alternating catches wins!","Take the handoff slow — no fumbling.","Strong hand = the one you write with. Start there!","Try a small step back only after 3 clean catches.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"5","Reflex Rush","Lightning Hands","Statue Mode","1","4+","2","90s","paddles:2 balls:1","3","10 catches with a full freeze between each!","Truly no moving during the freeze.","Try a silly statue pose — funnier every time!","Try a small step back only after 3 clean catches.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","abrupt stop / freeze","no","8.5","LIVE_OBSERVED + SOURCE_VERIFIED","Add the Take-it-gently / Grown-up-first / When-to-stop block already used on missions 7, 11, 31 and 36"
"6","Reflex Rush","Lightning Hands","Number Echo","1","3+","2","120s","paddles:2 balls:1","3","Reach 15 in a row — count loud!","Stay relaxed if you miss — just restart.","Counting out loud is a fun way to practice numbers.","Keep your elbows close to your body.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","low - stationary soft throw","no","9.0","LIVE_OBSERVED + SOURCE_VERIFIED","No change required"
"7","Aim Master","Bullseye!","Rainbow Throws","2","4+","2","90s","paddles:2 balls:1","3","Beat 3 distance levels with 5 rainbows each!","Soft height, not power — let gravity do the work.","Picture a real rainbow — up, over, down to the paddle!","Say “target” out loud before you throw.","yes (Take it gently + Start easier + How high/how far + Grown-up first + When to stop)","Quick round — 45s","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","high throw / jump above reach + increasing throw distance","YES - task requires a throw above face/head height while the footer says ""Throw below face level""","7.5","LIVE_OBSERVED + SOURCE_VERIFIED","Scope the generic footer to this mission: replace the blanket line with this mission's own limit (it already has one in its hero cue)"
"8","Aim Master","Bullseye!","The Landing Pad","1","4+","2","90s","paddles:2 balls:1","3","8 perfect landings wins!","Don't swat — let the velcro do the work.","The only mission where you do NOTHING and win!","Point your belly button at the target.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","running / moving feet","no","8.5","LIVE_OBSERVED + SOURCE_VERIFIED","Add the Take-it-gently / Grown-up-first / When-to-stop block already used on missions 7, 11, 31 and 36"
"9","Aim Master","Bullseye!","Step-Back Challenge","2","5+","2","90s","paddles:2 balls:1","3","Reach the top with 3 clean catches at max distance!","Stop if throws start going wild.","Soft arcs only — power isn't the win here.","Point your belly button at the target.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","increasing throw distance","no","8.5","LIVE_OBSERVED + SOURCE_VERIFIED","Add the Take-it-gently / Grown-up-first / When-to-stop block already used on missions 7, 11, 31 and 36"
"10","Aim Master","Bullseye!","Power Step","2","5+","2","120s","paddles:2 balls:1","3","10 clean step-throws each!","Throw soft — the step adds power on its own.","Step forward smoothly, then reset before your partner's turn.","Use two hands to aim, then one to throw.","no","no","pair copy + explicit ""no solo version"" statement","yes","either (indoor or out)","increasing throw distance","no","8.5","LIVE_OBSERVED + SOURCE_VERIFIED","Add the Take-it-gently / Grown-up-first / When-to-stop block already used on missions 7, 11, 31 and 36"
