persona,test_question,quick_start_0_5,comprehension_0_5,safety_confidence_0_5,child_autonomy_0_5,fairness_multi_child_0_5,accessibility_fit_0_5,routine_fit_0_5,mean_0_5,binding_constraint,evidence_label
"Busy caregiver","Can the family start a 5-10 minute low-prep game quickly?",4.4,4.7,4.5,4.5,4.4,4.5,4.6,4.51,"45-90s defaults and one-tap start fit the window; at 320x568 the Start Mission CTA needs a scroll before it can be tapped","LIVE_MEASURED + INFERRED"
"Screen-to-play parent","Can the child move from screen to play without guilt or a fight?",4.7,4.7,4.5,4.7,4.4,4.5,4.6,4.59,"No-pressure copy, Quick round on 4 missions, explicit phone-down beat, Choose another; nothing to argue about","LIVE_OBSERVED + RESEARCH_SUPPORTED"
"Cautious parent","Are ground, distance, adult-nearby and stop conditions concrete for a new jump/throw/run challenge?",4.3,4.5,3.2,3.8,4.0,4.3,4.1,4.03,"Per-mission safety is good, but the fixed footer contradicts the instruction on 7/36 missions and the stop-condition block reaches only 4/36 - this persona reads exactly that text","LIVE_OBSERVED"
"Child-led parent","Does the product leave the child choice and rhythm rather than one correct way to play?",4.5,4.6,4.4,4.8,4.4,4.5,4.5,4.53,"Choose another, Pick one for me, flexible win conditions, non-punitive retry, no reset-from-1 pressure","LIVE_OBSERVED"
"Multi-child family","Are roles, turns, age gaps, equipment and scoring fair?",4.3,4.6,4.3,4.4,4.6,4.4,4.3,4.41,"Full role preflight on all 8 multiplayer missions, shared totals, explicit only-two-of-you fallback; real sibling dynamics unverified without field testing","LIVE_OBSERVED + INFERRED"
"Small or cluttered home","Can the family find a safe variant among breakables, pets, tight space and noise?",4.4,4.5,4.2,4.3,4.2,4.4,4.3,4.33,"Indoor Compact pack, watch-out-for-lamps-and-shelves copy, feet-planted variants; the distance footer still assumes a fixed 1-3 m in every room","LIVE_OBSERVED"
"Rural or limited-access family","Do core missions and explanations work under connectivity, space and resource limits?",4.5,4.5,4.3,4.4,4.3,4.4,4.4,4.40,"Offline core proven working, no account, printable Mission Book, no 3D dependency","LIVE_OBSERVED"
"Child with attention, motor or learning differences","Are audio-optional, three visual steps, easy variant, retry and reduced motion real options?",4.2,4.4,3.9,4.2,3.9,4.2,3.9,4.10,"Three visual steps, optional Leo audio, 36 reduced-motion rule blocks, non-punitive retry - but the easy-variant block reaches only 4/36 missions","LIVE_MEASURED + INFERRED"
"Grandparent caregiver","Is the language role-neutral, plain and low-jargon?",4.6,4.6,4.4,4.5,4.4,4.5,4.5,4.50,"Role-neutral grown-up language throughout (no Mom/Dad assumption), plain English, large targets, no account to create","LIVE_OBSERVED"
"MEAN","",4.43,4.57,4.19,4.40,4.29,4.41,4.36,4.38,"Lowest criterion is safety confidence (4.19), driven entirely by the contradictory footer","MODELLED - no real person was consulted"
